L_LatVent,R_LatVent,L_thal,R_thal,L_caud,R_caud,L_put,R_put,L_pal,R_pal,L_hippo,R_hippo,L_amyg,R_amyg,L_accumb,R_accumb
4055,3254,7936,8491,3857,3763,5186,5064,2267,2246,3066,4693,1239,1505,696,388
3655,4525,7829,7568,3301,3694,4942,5403,1627,1920,3927,3844,1442,1409,492,593
4885,3312,7567,7578,3467,3494,5282,5255,1769,1670,4657,4582,1596,1595,466,526
6065,6765,7823,8228,4218,4092,5473,5562,1876,1450,4909,4497,1550,1460,486,604
6941,7537,8022,8030,3892,3789,5220,5510,1663,1655,4551,4606,1554,1594,581,707
7553,9478,8443,7831,4291,4400,6516,6326,1915,1881,4619,4338,1752,1795,587,654
5131,10627,9411,8257,4200,4061,5973,5985,2039,1988,4448,4070,1619,1829,537,599
3973,4112,8614,8352,4111,4161,5496,5234,1845,1837,4977,4865,1750,1694,546,586
15987,19606,7385,6833,3421,3537,5196,5155,1443,1670,3801,3492,1454,1671,381,577
6252,6850,7446,6650,3581,3491,5009,5178,1813,1610,4265,4031,1408,1442,452,507
8847,15888,7622,6902,3728,3785,5092,4309,1523,1449,3960,3417,1344,1386,480,619
8057,12867,7657,6907,3364,3187,5578,5531,1669,1590,4857,4188,1996,2089,611,697
8641,10022,8358,7608,3844,3982,5378,5078,1454,1664,4178,4002,1579,1607,680,614
5827,6784,7410,6913,3103,3246,4741,4419,1609,1407,4279,4001,1404,1524,568,534
6650,10136,7912,7187,3296,3310,4566,4912,1893,1506,4589,4431,1475,1517,498,533
6938,6783,9446,7744,4425,4214,6035,5524,1726,1655,4606,4447,1698,1482,533,580
4152,9583,8416,8000,3497,3570,5286,5277,1827,1824,4628,4114,1683,1721,597,604
6363,7706,8300,7729,3958,3727,5221,5097,1823,1530,4962,4768,1578,1244,478,619
7690,7316,8853,8057,4053,4179,5807,5675,1642,1914,4883,4379,1478,1623,599,630
5802,9036,7822,7144,3284,3734,5401,5220,1460,1484,4035,3840,1713,1871,484,497
7465,8595,6662,6668,3080,2967,5162,4559,1399,1368,3939,3785,1460,1417,418,439
6772,5670,6792,6769,3245,3450,4972,4881,1625,1707,3726,3775,1714,1412,435,410
9570,8658,8965,9332,4960,4759,6263,6323,2011,2172,5321,5406,2107,2459,533,724
1898,2277,7117,6532,2971,3027,4315,4365,1327,1349,2800,3611,1511,1238,357,472
18803,20330,9700,8810,4720,4452,6579,6126,2087,1850,4833,4705,1987,1718,460,703
6760,6679,8392,8196,3804,3921,4997,4966,1560,1881,4289,4254,1573,1603,484,571
2840,3280,7173,6967,3208,3161,4993,4835,1640,1594,4371,2956,1914,1558,482,376
8445,7880,8312,7441,3985,3658,5868,6105,1866,1563,5014,4788,1674,1759,546,574
7098,5079,8988,8543,4417,4042,7307,6757,1988,1570,5497,5341,1994,1947,671,722
5770,6387.5,7260.7,7533.7,3425.5,3524.1,4643.4,4891.3,1612.2,1540.1,NA,3598.5,669.3,1166.9,657.3,526.1
9596,7755,7338,7036,3759,3639,5016,4830,1841,1644,2904,3840,1569,1461,623,461
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3827,6270,7829,7069,3979,4256,4943,4946,1654,1781,4387,4310,1759,1637,612,611
4138.4,3933.3,6277.3,6381,2860.2,2960.7,3733.4,3670.1,1555.1,1756.8,2604.3,3166.4,1362.7,1138.5,533.8,533.5
24215.6,23635.2,6896.6,7585.3,3398.1,3598.9,5399.1,5136,1732.6,1449.2,2960.5,4573.7,1435,2028.4,576.7,329
6473,7942,9589,NA,3964,3920,5784,5385,2139,1832,4998,3820,1681,1992,609,586
6278.9,4797.8,8821,8332.8,2732.5,3572.5,4107.6,4120.9,1204.2,1546.1,2774.6,4563.1,1219.4,1511.8,329.9,360.4
21957.8,14826,6172.1,8758.2,4097,3882.9,5753.8,5096.8,1613.2,1447.4,2467.2,4204,1241,1555.7,393,390.3
6224,5150,7666,8522,3614,3793,4236,4588,1161,1528,2673,4070,1380,1351,560,464
11378,12285,7516,7183,3424,3253,5013,5246,1639,1456,4351,3981,1698,1691,533,482
13111,11840,8368,8695,4210,4342,5052,5363,1336,1695,NA,3640,1524,1542,529,548
3457.8,3194.2,7567.9,7054.7,3390.3,3434.3,4774.3,5003.3,1239.9,1315,2916.4,4296.9,1387.5,1710.1,469.3,394
6289,8683,8966,9829,3363,3392,5261,5474,1649,1905,4640,4283,1638,1764,565,664
4532,6153,8150,8319,3824,3904,5762,5728,1820,1992,4075,3882,1511,1588,497,604
3972,3714,7982,7529,3684,3764,5512,5253,1716,1585,4499,4394,1838,1781,638,585
13589,18087,8098,9129,4305,4510,6503,6134,2077,1887,4457,2779,1737,1918,790,566
